sensor_1,1547718199,35.8
sensor_6,1547718201,15.4
sensor_7,1547718202,6.7
sensor_10,1547718205,38.1
sensor_10,1547718215,38.1
sensor_1,1547718207,36.3
sensor_1,1547718209,32.8
sensor_1,1547718210,32.8
sensor_1,1547718211,32.8
sensor_1,1547718212,37.1
sensor_1,1547718213,37.1
sensor_1,1547718214,37.1
sensor_1,1547718215,37.1
sensor_1,1547718216,37.1
sensor_1,1547718217,37.1
sensor_1,1547718317,37.1
sensor_2,1547718212,30.1
sensor_12,1547718221,38.1
sensor_1,1547718227,38.1
sensor_1,1547718228,38.1
